# StochasticInstanton sample grid
# generated: 2026-06-22T18:34:57Z
# method: sobol
# seed: 42
# n_requested: 500
# n_samples_generated: 512
# delta_nstar_range: [0.1, 3.0]
# delta_N_range: [0.5, 6.0]
# N_final: [15.0, 25.0] (5 quasi-random samples)
# N_init_max: 50.0
# total_rows: 512
N_init,N_final,delta_Nstar
28.04315151,23.06412767,1.34998548
22.89356619,19.98734687,2.62245925
25.57058699,22.26470088,1.77595481
17.13119862,15.31829069,0.49691293
22.99414130,18.56176122,0.22584348
24.86131469,24.17760433,2.22827297
22.18386112,16.74419106,2.89514109
23.59440847,21.15153893,0.89605494
20.66117390,16.91099321,1.02553012
21.42326086,20.04758845,2.65203063
22.53476992,17.78854500,2.04941145
27.76244117,24.63851963,0.42771524
27.13360670,21.47287847,0.70037494
18.00930602,15.79722091,1.59550303
27.21082414,23.21232363,2.38093904
20.03143074,18.90141130,1.47787041
24.58542676,20.40319565,1.42019917
18.27505942,17.32641262,2.32532476
30.77714630,24.91615457,1.65403720
19.97385063,17.96974185,0.75512639
21.09764752,16.21294535,0.30137276
24.81185617,21.82879099,1.92654195
22.99800728,19.08291348,2.77782001
24.70871459,23.49026359,1.14895279
25.13969487,19.56185442,0.95451720
25.00015826,22.69845190,2.94995338
19.72467822,15.12702051,2.17071789
22.50385118,21.97699768,0.17012409
27.30217844,23.81223389,0.62264147
19.76843691,18.13657380,1.89944939
26.04308455,20.86414075,2.49622188
19.25112561,16.55322620,1.22699982
21.05774720,17.64158459,1.27338285
26.17182395,24.46348261,2.54046949
22.11835482,17.03476142,1.84671668
23.02223452,20.22628875,0.58474341
28.71816557,23.38877266,0.13224833
21.57524905,19.02781226,2.11796323
25.62790259,21.30009271,2.99422294
16.44161233,15.64762777,1.00087793
27.01987183,22.38358509,1.10185653
18.73069907,15.50187262,2.73429662
26.55756134,22.91228326,1.97857248
21.30280436,19.81719147,0.33996186
20.68472628,16.57628693,0.79369318
22.02217565,20.99706179,1.70608968
24.50872339,18.74309188,2.28177941
26.40126526,24.29912128,1.37312520
21.23017420,15.30221025,1.51926963
24.06628459,22.12411050,2.43015919
23.62716946,19.38300136,1.56045418
23.45620811,22.57453123,0.64480457
24.58601475,20.73789252,0.37212256
17.65731462,16.37692958,2.01438454
28.78444012,23.96167427,2.70122882
21.35924154,18.30920709,1.06695164
29.26277231,24.73241989,0.85534752
18.43916030,17.85070518,2.84521817
26.08974555,20.57350377,2.26404682
19.84742404,17.47840945,0.28070001
24.48348630,19.23723787,0.55179177
26.29431371,23.65801526,1.81170670
19.64312368,16.09158112,2.57255829
23.21216828,21.64761275,1.30925576
20.24357154,15.93566910,1.28012128
22.30673414,21.49048029,2.55638713
24.16464595,18.76905500,1.79393838
25.67288369,23.18861143,0.52424063
25.20856419,20.10426213,0.25156000
19.78328228,17.01038863,2.24787013
27.92618471,24.57575466,2.82745538
19.46631924,17.69526054,0.82780191
29.90365127,24.11849259,1.09445710
20.54439328,18.46480445,2.71903996
25.24951411,21.20698170,2.03060129
17.93346224,16.84479832,0.40121412
23.47619260,19.85133733,0.67230450
24.55313306,23.04408778,1.57825979
20.15960358,15.45796980,2.44638146
25.44690885,22.28109087,1.54836672
23.11791694,18.27506267,1.40203773
26.85748179,23.82987133,2.29817251
20.20260341,16.42083398,1.72372595
22.18411868,20.84038817,0.82137638
26.97879666,22.75516150,0.36887991
20.56585926,19.66129023,1.99497111
27.90772853,21.91419202,2.75192734
16.91333286,15.03370044,1.12953419
25.30147823,21.76963857,0.97315191
17.70322360,16.11595296,2.97663236
28.85805764,23.54574227,2.10161304
21.75613382,19.18356112,0.10329021
22.72685077,17.19036716,0.55702292
22.72885230,20.38311538,1.82913163
22.57462178,18.10946164,2.52411377
25.58386282,24.93258017,1.24441920
26.48229760,21.01973705,1.20936978
19.13237811,16.71004316,2.46854352
28.64993806,24.28010127,1.87053063
19.35494321,18.60566191,0.60624353
18.88003711,15.59657600,0.15248853
24.27832763,22.44533228,2.14303400
24.76120179,19.71883344,2.92104016
25.69407595,22.85421040,0.93812479
22.90100655,18.92578205,1.16530782
24.48461582,23.33435290,2.80678436
21.46710022,15.74354284,1.95426313
23.50750359,21.36060914,0.31895713
29.21707581,24.44813477,0.77147589
20.60472118,17.50050154,1.68299601
23.93420824,20.24775233,2.35305147
18.61148873,17.16974841,1.43778906
27.57269315,23.68064985,1.49563389
20.61011978,19.37095849,2.40848396
26.57604985,21.62862865,1.62464234
18.87152582,15.95419154,0.71655232
23.82863463,17.94537265,0.44548425
26.77832899,24.79412669,2.07696189
21.49915967,17.38009209,2.68116441
21.53031237,20.51546652,1.04170197
21.47731462,16.27494005,0.87983197
23.36098335,20.68350837,2.86604469
21.83202067,18.40508625,2.20077373
25.71935881,24.02215032,0.20803717
26.68390017,22.10879857,0.48069550
15.70754728,15.16116757,1.74686394
28.23734363,22.59595413,2.59495449
21.75375115,19.51795274,1.33217364
25.55815759,21.89417312,1.34435512
16.52525144,15.06372783,2.60508074
27.47139626,22.81086419,1.73678189
22.82561274,19.61567232,0.46846972
22.19738503,16.45064218,0.19720252
22.94654695,20.82014978,2.18930056
22.31342014,18.22907269,2.87756206
24.92903036,23.88520224,0.89062232
23.14705236,18.08217321,1.03160333
27.79002920,24.96999154,2.66896629
20.63551656,17.24360714,2.08920421
22.06715203,20.33992205,0.45553859
27.92947746,23.58278155,0.72804205
19.92564016,19.15590091,1.63544929
27.07970822,21.72622604,2.39772122
18.69770386,16.16897345,1.48409988
30.03770300,24.54571964,1.44830842
20.10316439,17.71527689,2.36553687
24.66150564,20.14987271,1.67037790
17.56721437,16.95468308,0.76108931
22.36493620,18.78930962,0.30717943
24.70464840,23.15881498,1.94303615
21.14548393,15.88035472,2.81787863
24.14851913,21.53648173,1.17721831
19.68898504,15.42055588,0.92561178
23.17116777,22.30837168,2.91053743
25.84121389,19.89452781,2.15340402
24.90893054,22.99084049,0.16513433
