# StochasticInstanton sample grid
# generated: 2026-06-24T10:52:40Z
# method: sobol
# seed: 42
# n_requested: 512
# n_samples_generated: 512
# delta_nstar_range: [0.1, 1.0]
# delta_N_range: [0.05, 3.0]
# N_final: derived: N_final = 23.0 - ΔN - delta_Nstar  (N_final_min=5.0)
# K (= N_final + ΔN + delta_Nstar): 23.0
# total_rows: 512
N_init,N_final,delta_Nstar
22.51207347,20.05968795,0.48792653
22.03457909,21.06591976,0.96542091
22.39192127,20.57831007,0.60807873
22.86845741,22.74025506,0.13154259
22.68573945,20.74863150,0.31426055
22.32151406,21.58002385,0.67848594
22.21748630,19.46294573,0.78251370
22.58229143,21.17900253,0.41770857
22.66920718,21.09934523,0.33079282
22.13414111,21.75976204,0.86585889
22.22688084,19.84242212,0.77311916
22.76273961,21.72930767,0.23726039
22.83315026,20.01329666,0.16684974
22.40959537,21.07333308,0.59040463
22.06392659,19.88010149,0.93607341
22.48629653,21.98765539,0.51370347
22.46679037,20.36609983,0.53320963
22.10101021,21.51842644,0.89898979
22.42918736,19.51540800,0.57081264
22.79598082,21.55589714,0.20401918
22.75367132,20.46469834,0.24632868
22.27462206,21.14650678,0.72537794
22.14307551,20.48853305,0.85692449
22.62159987,22.32964279,0.37840013
22.60189287,19.94275574,0.39810713
22.18030570,20.68225117,0.81969430
22.30199159,20.28030089,0.69800841
22.72284110,22.06387064,0.27715890
22.87740297,21.14701425,0.12259703
22.34430451,22.13224746,0.65569549
22.02549277,19.47908936,0.97450723
22.55983100,21.68725814,0.44016900
22.54593290,20.67979132,0.45406710
22.01126675,21.93424513,0.98873325
22.35721046,19.85364500,0.64278954
22.89262114,21.97649298,0.10737886
22.70993086,19.91573300,0.29006914
22.28677599,20.92449403,0.71322401
22.19420122,20.21608552,0.80579878
22.61612318,21.91428947,0.38387682
22.63539072,20.21136562,0.36460928
22.15741048,21.16507604,0.84258952
22.26160373,20.65064489,0.73839627
22.73856381,22.40375174,0.26143619
22.80900171,20.57255568,0.19099829
22.44429057,21.99673925,0.55570943
22.08722363,19.21627959,0.91277637
22.45245282,21.16881086,0.54754718
22.49975695,19.54488074,0.50024305
22.07859029,20.87807366,0.92140971
22.39712721,20.25687024,0.60287279
22.81749430,22.27600799,0.18250570
22.77521206,21.06957912,0.22478794
22.24253423,22.00319743,0.75746577
22.12068328,19.77908940,0.87931672
22.65453919,21.57751378,0.34546081
22.56894180,20.49607112,0.43105820
22.20271011,21.59627079,0.79728989
22.33409127,19.62242380,0.66590873
22.70128808,21.25441432,0.29871192
22.85587763,20.26846652,0.14412237
