# StochasticInstanton sample grid
# generated: 2026-06-24T13:47:13Z
# method: sobol
# seed: 42
# n_requested: 1024
# n_samples_generated: 1024
# delta_nstar_range: [1.0, 12.0]
# delta_N_range: [2.0, 23.0]
# N_final: derived: N_final = 43.0 - ΔN - delta_Nstar  (N_final_min=3.0)
# K (= N_final + ΔN + delta_Nstar): 43.0
# total_rows: 1024
N_init,N_final,delta_Nstar
37.25867578,18.15694836,5.74132422
31.42263328,22.88302448,11.57736672
35.79014887,21.23562847,7.20985113
41.61447946,39.05778477,1.38552054
39.38125997,23.94761013,3.61874003
34.92961624,28.00714356,8.07038376
33.65816591,12.40550421,9.34183409
38.11689528,26.48331326,4.88310472
39.17919889,26.35984264,3.82080111
32.63950248,28.33036332,10.36049752
33.77298806,15.15480736,9.22701194
40.32237305,31.32167111,2.67762695
41.18294765,19.46534571,1.81705235
36.00616559,24.84972223,6.99383441
31.78132494,14.59138355,11.21867506
36.94362430,31.74990770,6.05637570
36.70521567,20.10707961,6.29478433
32.23456921,26.44329494,10.76543079
36.24562335,13.85939736,6.75437665
40.72865442,30.25687232,2.27134558
40.21153839,22.27308664,2.78846161
34.35649184,24.68177291,8.64350816
32.74870072,19.32653405,10.25129928
38.59733170,34.87492538,4.40266830
38.35646843,17.78294988,4.64353157
33.20373631,20.89555151,9.79626369
34.69100829,18.65524398,8.30899171
39.83472453,33.49968062,3.16527547
41.72381408,27.76172486,1.27618592
35.20816629,32.05453978,7.79183371
31.31157832,11.54057096,11.68842168
37.84237888,29.98677546,5.15762112
37.67251325,22.74404774,5.32748675
31.13770472,28.94534742,11.86229528
35.36590558,15.89984641,7.63409442
41.90981392,33.74415587,1.09018608
39.67693274,18.14196490,3.32306726
34.50503988,23.16337172,8.49496012
33.37357042,17.64800109,9.62642958
38.53039444,31.89022226,4.46960556
38.76588660,19.86604688,4.23411340
32.92390586,24.21576240,10.07609414
34.19737887,21.08546852,8.80262113
40.02689107,35.99941531,2.97310893
40.88779874,23.32326761,2.11220126
36.43021809,31.60019176,6.56978191
32.06606664,9.98477006,10.93393336
36.52997893,25.74812091,6.47002107
37.10814046,14.42936069,5.89185954
31.96054800,21.77042960,11.03945200
35.85377707,18.97398168,7.14622293
40.99159703,35.49288094,2.00840297
40.47481407,26.68895244,2.52518593
33.96430724,30.61648596,9.03569276
32.47501782,14.16197665,10.52498218
38.99992342,29.68889507,4.00007658
37.95373311,21.55363673,5.04626689
33.47756804,27.51647456,9.52243196
35.08333779,14.13587445,7.91666221
39.57129870,27.62745161,3.42870130
41.46072657,21.39780003,1.53927343
35.60016271,28.02686011,7.39983729
31.58574311,17.34134744,11.41425689
37.43930525,34.57759229,5.56069475
37.51337084,21.90849439,5.48662916
31.68356556,24.91696112,11.31643444
35.52374195,14.11042801,7.47625805
41.36525914,29.89747887,1.63474086
39.47347880,19.88778063,3.52652120
35.00927474,26.96904005,7.99072526
33.57303276,18.52460818,9.42696724
38.03015117,35.96225628,4.96984883
38.92359707,16.72104184,4.07640293
32.37947696,21.72334525,10.62052304
34.03827841,16.35280935,8.96172159
40.57270995,35.86937150,2.42729005
41.08713519,28.09556978,1.91286481
35.93010071,31.77776737,7.06989929
31.86265466,13.08219824,11.13734534
37.03417183,28.20085000,5.96582817
36.62820665,18.52230216,6.37179335
32.13970089,22.62732523,10.86029911
36.33501694,22.75597191,6.66498306
40.81113809,37.26100855,2.18886191
39.95325428,22.86466744,3.04674572
34.09914861,28.80346957,8.90085139
33.00056922,10.11395901,9.99943078
