# StochasticInstanton sample grid
# generated: 2026-06-22T14:01:58Z
# method: sobol
# seed: 42
# n_requested: 500
# n_samples_generated: 512
# delta_nstar_range: [0.1, 3.0]
# delta_N_range: [0.5, 6.0]
# N_final_values: [16.0, 17.5, 19.0]
# N_init_max: 25.0
# total_rows: 1536
N_init,N_final,delta_Nstar
20.97902385,16.00000000,1.34998548
22.47902385,17.50000000,1.34998548
23.97902385,19.00000000,1.34998548
18.21275469,16.00000000,2.88857850
19.71275469,17.50000000,2.88857850
21.21275469,19.00000000,2.88857850
19.78808868,16.00000000,1.73714257
21.28808868,17.50000000,1.73714257
22.78808868,19.00000000,1.73714257
16.64580099,16.00000000,0.20163723
18.14580099,17.50000000,0.20163723
19.64580099,19.00000000,0.20163723
20.01833686,16.00000000,0.79039510
21.51833686,17.50000000,0.79039510
23.01833686,19.00000000,0.79039510
17.78921904,16.00000000,1.96401026
19.28921904,17.50000000,1.96401026
20.78921904,19.00000000,1.96401026
21.54236378,16.00000000,2.29921080
23.04236378,17.50000000,2.29921080
24.54236378,19.00000000,2.29921080
19.02308101,16.00000000,1.12372761
20.52308101,17.50000000,1.12372761
22.02308101,19.00000000,1.12372761
19.33364092,16.00000000,0.84366575
20.83364092,17.50000000,0.84366575
22.33364092,19.00000000,0.84366575
17.10477454,16.00000000,2.56776753
18.60477454,17.50000000,2.56776753
20.10477454,19.00000000,2.56776753
20.85238066,16.00000000,2.26893951
22.35238066,17.50000000,2.26893951
23.85238066,19.00000000,2.26893951
18.33351718,16.00000000,0.54228347
19.83351718,17.50000000,0.54228347
21.33351718,19.00000000,0.54228347
21.66413384,16.00000000,0.31540471
23.16413384,17.50000000,0.31540471
24.66413384,19.00000000,0.31540471
18.89811612,16.00000000,1.68019271
20.39811612,17.50000000,1.68019271
21.89811612,19.00000000,1.68019271
20.47831798,16.00000000,2.79401433
21.97831798,17.50000000,2.79401433
23.47831798,19.00000000,2.79401433
17.33644959,16.00000000,1.43304450
18.83644959,17.50000000,1.43304450
20.33644959,19.00000000,1.43304450
20.32332135,16.00000000,1.49589769
21.82332135,17.50000000,1.49589769
23.32332135,19.00000000,1.49589769
17.49295278,16.00000000,2.67452266
18.99295278,17.50000000,2.67452266
20.49295278,19.00000000,2.67452266
21.83924966,16.00000000,1.61706294
23.33924966,17.50000000,1.61706294
24.83924966,19.00000000,1.61706294
18.71880007,16.00000000,0.43517293
20.21880007,17.50000000,0.43517293
21.71880007,19.00000000,0.43517293
20.67435641,16.00000000,0.57150352
22.17435641,17.50000000,0.57150352
23.67435641,19.00000000,0.57150352
18.51004543,16.00000000,2.11510670
20.01004543,17.50000000,2.11510670
21.51004543,19.00000000,2.11510670
19.49151984,16.00000000,2.53897890
20.99151984,17.50000000,2.53897890
22.49151984,19.00000000,2.53897890
16.95110642,16.00000000,0.99706710
18.45110642,17.50000000,0.99706710
19.95110642,19.00000000,0.99706710
21.36449295,16.00000000,1.06056741
22.86449295,17.50000000,1.06056741
24.36449295,19.00000000,1.06056741
19.19976269,16.00000000,2.41901497
20.69976269,17.50000000,2.41901497
22.19976269,19.00000000,2.41901497
20.17603351,16.00000000,2.02691600
21.67603351,17.50000000,2.02691600
23.17603351,19.00000000,2.02691600
17.63536864,16.00000000,0.67084535
19.13536864,17.50000000,0.67084535
20.63536864,19.00000000,0.67084535
19.63292813,16.00000000,0.17281265
21.13292813,17.50000000,0.17281265
22.63292813,19.00000000,0.17281265
16.80214028,16.00000000,1.89057434
18.30214028,17.50000000,1.89057434
19.80214028,19.00000000,1.89057434
21.15431145,16.00000000,2.91785663
22.65431145,17.50000000,2.91785663
24.15431145,19.00000000,2.91785663
18.03361042,16.00000000,1.19610011
19.53361042,17.50000000,1.19610011
21.03361042,19.00000000,1.19610011
19.88602668,16.00000000,1.24088287
21.38602668,17.50000000,1.24088287
22.88602668,19.00000000,1.24088287
16.55037929,16.00000000,2.96369603
18.05037929,17.50000000,2.96369603
19.55037929,19.00000000,2.96369603
21.07444407,16.00000000,1.84898853
22.57444407,17.50000000,1.84898853
24.07444407,19.00000000,1.84898853
