# StochasticInstanton sample grid
# generated: 2026-06-23T18:06:44Z
# method: sobol
# seed: 42
# n_requested: 800
# n_samples_generated: 1024
# delta_nstar_range: [1.5, 18.0]
# delta_N_range: [0.5, 14.0]
# N_final: [19.5, 20.5] (5 quasi-random samples)
# N_init_max: 50.0
# total_rows: 1024
N_init,N_final,delta_Nstar
31.80038039,20.30641277,8.61198633
26.40490936,19.99873469,15.85192333
27.61364509,20.22647009,11.03560493
23.25442126,19.53182907,3.75829772
30.00838178,19.85617612,2.21600598
21.36868587,20.41776043,13.60913933
32.29906380,19.67441911,17.40338897
25.38401550,20.11515389,6.02927810
28.16881558,19.69109932,6.76594725
22.65413658,20.00475885,16.02017429
30.70140660,19.77885450,12.59147891
27.40438665,20.46385196,3.36458668
33.31452988,20.14728785,4.91592641
24.28211282,19.57972209,10.00889654
29.40846089,20.32123236,14.47775664
21.93655248,19.89014113,9.33960749
29.57852321,20.04031956,9.01147803
21.33386524,19.73264126,14.16133054
34.15041335,20.49161546,10.34193580
23.98887755,19.79697418,5.22744326
30.88374532,19.62129453,2.64574159
26.77767545,20.18287910,11.89239383
28.79079430,19.90829135,16.73587247
22.61249700,20.34902636,7.46817967
32.91997564,19.95618544,6.36190820
25.19221533,20.26984519,17.71525198
30.07058916,19.51270205,13.28167073
20.76361292,20.19769977,1.89898190
28.22017819,20.38122339,4.47364975
23.09186684,19.81365738,11.73824651
32.07109430,20.08641408,15.13367622
25.55016662,19.65532262,7.91224038
27.42201214,19.76415846,8.17614381
23.91227699,20.44634826,15.38542985
31.45411447,19.70347614,11.43821559
26.15813212,20.02262888,4.25802282
32.69284167,20.33887727,1.68348187
25.42830790,19.90278123,12.98151493
30.02554261,20.13000927,17.96713054
20.78636126,19.56476278,6.62568479
30.89106234,20.23835851,7.20021817
26.74821582,19.55018726,16.48823937
28.51145634,20.29122833,12.18842963
22.90095078,19.98171915,2.86530021
29.01470710,19.65762869,5.44687499
21.88862204,20.09970618,10.63809646
33.29904107,19.87430919,13.91357251
24.86244735,20.42991213,8.74364336
33.35340527,19.53022102,9.57515480
24.25229291,20.21241105,14.75780227
29.62853092,19.93830014,9.80948065
21.69429637,20.25745312,4.59975014
28.79190746,20.07378925,3.04828352
22.05318350,19.63769296,12.39218790
31.50659269,20.39616743,16.30009499
26.59009617,19.83092071,7.00162139
30.86592520,20.47324199,5.79766690
20.50218764,19.78507052,17.11934477
32.86994385,20.05735038,13.81268016
24.83542221,19.74784094,2.52812073
32.07360630,19.92372379,4.07053937
26.10944317,20.36580153,11.23902090
27.59930803,19.60915811,15.56800406
23.27776121,20.16476128,8.38024830
29.44023653,19.59356691,8.21448317
21.42530747,20.14904803,15.47599575
32.39335603,19.87690550,11.13792526
25.68934760,20.31886114,3.91378289
31.81189491,20.01042621,2.36232416
25.77995966,19.70103886,13.72064041
27.95408559,20.45757547,17.01828063
23.38939740,19.76952605,5.64094193
33.88451146,20.41184926,7.15811799
24.22365304,19.84648045,16.40143428
29.31600500,20.12069817,12.48445560
21.62938220,19.68447983,3.21380450
28.15523305,19.98513373,4.75621524
23.28115627,20.30440878,9.91078844
30.35889808,19.54579698,14.85010141
27.27148049,20.22810909,9.74070722
30.98723947,19.82750627,8.90814570
27.08712188,20.38298713,14.00684360
28.19733563,19.64208340,10.73844072
22.65501370,20.08403882,5.60438284
29.91534791,20.27551615,3.02983399
21.45916210,19.96612902,12.28173216
34.17555427,20.19141920,16.58855213
23.38974054,19.50337004,7.35769452
28.11875211,20.17696386,6.46793328
22.78035048,19.61159530,17.86704616
32.66662104,20.35457423,12.88848798
25.50558000,19.91835611,1.51872014
32.58131466,19.71903672,4.10030281
25.06875670,20.03831154,11.33816272
30.04361197,19.81094616,15.29237146
21.36458817,20.49325802,8.01135064
32.78280415,20.10197370,7.81193152
24.88946283,19.67100432,14.97619590
30.42670045,20.42801013,11.57370877
20.97243848,19.86056619,4.38035112
26.89178942,19.55965760,1.79864161
24.01643090,20.24453323,13.12415897
31.62133295,19.97188334,17.55074574
26.52872738,20.28542104,6.26864107
28.92267470,19.89257821,7.56123415
22.42953519,20.33343529,16.90066961
32.89581332,19.57435428,12.05011781
24.67843820,20.13606091,2.74579056
31.42312329,20.44481348,5.32046624
26.64222564,19.75005015,10.50670143
28.34607610,20.02477523,14.31908596
22.52851925,19.71697484,9.11155844
29.19398946,20.36806498,9.44067559
22.25140083,19.93709585,14.63447771
31.57926034,20.16286287,10.17468920
26.02887603,19.59541915,5.00797012
33.50799849,19.79453726,3.46568622
24.62245468,20.47941267,12.74823143
29.12117509,19.73800921,16.18593545
21.81525921,20.05154665,6.85795946
31.66968611,19.62749401,5.93697499
25.91306217,20.06835084,17.23784046
27.52480220,19.84050862,13.45267814
23.84081768,20.40221503,2.11469423
30.71340197,20.21087986,3.66602611
20.12995786,19.51611676,10.87008792
33.37936965,20.25959541,15.69543070
24.71239137,19.95179527,8.51064313
28.45556100,20.18941731,8.57995156
22.36647618,19.50637278,15.75304559
30.99330151,20.28108642,10.81272456
27.11323916,19.96156723,3.59646567
33.02343303,19.64506422,2.05304881
24.57408077,20.08201498,13.38739975
29.12085100,19.82290727,17.30337037
22.22337107,20.38852022,5.99836839
31.51292069,19.80821732,6.80050168
26.69163704,20.49699915,16.11653236
27.32268385,19.72436071,12.81788604
23.54628398,20.03399220,3.52289198
30.30016810,20.35827816,5.07334267
21.07767734,19.91559009,10.23617702
32.58571522,20.17262260,14.57324141
25.09650837,19.61689734,9.37505102
33.20762202,20.45457196,9.17141000
24.90543338,19.77152769,14.39012358
30.36172265,20.01498727,10.43490874
20.47168146,19.69546831,5.26137024
27.92819622,19.87893096,2.67877953
23.38292716,20.31588150,11.98624014
31.78426171,19.58803547,16.96379222
25.83773996,20.15364817,7.62900074
29.29183625,19.54205559,6.19744633
21.62133666,20.23083717,17.49098883
33.85859133,19.98945278,13.18316080
24.27985055,20.29908405,1.87059190
31.17479458,20.12346537,4.44413462
26.48590085,19.68077753,11.64087739
29.07834212,20.40654836,14.90827221
22.32585733,19.85082335,7.74890358
30.60394684,19.74052939,7.95225439
27.03455529,20.04808564,15.22057852
28.22083850,19.78948529,11.40920010
23.19242447,20.48351619,4.16015413
29.30610441,20.15936465,1.58648647
21.59795690,19.59790216,12.95161034
33.58530427,20.37214659,17.80316825
24.57528444,19.93202192,6.40092201
27.70816922,20.26186599,7.42964457
23.62524895,19.94857243,16.64755372
31.74542185,20.20509759,12.22197502
25.86761780,19.52095438,2.95863901
32.40237799,19.83726386,5.54135465
25.71968833,20.40446366,10.67051678
29.73856509,19.63229442,14.07401198
21.07259150,20.06253139,8.97192896
30.57957497,19.97534410,9.67114703
20.78926337,20.28290010,14.79273829
32.57845936,19.55555380,9.96840358
25.12600031,20.24958448,4.82552391
32.36426067,20.42552830,3.27519815
25.81800609,19.86406604,12.54998576
27.88646014,20.10704878,16.33615614
22.99145827,19.66692437,7.09647281
33.64047079,20.02799732,5.69814793
23.96615080,19.71470402,17.08793549
29.91908274,20.43997512,13.65123757
21.40300395,19.75583214,2.30486663
28.50056451,19.57210729,3.84815857
22.34366216,20.13930686,11.07668921
31.22039995,19.89839931,15.53748382
26.87708864,20.32863602,8.27985597
33.17631106,19.91395129,8.43735965
24.93263204,20.34431010,15.63781603
28.60267050,19.61890167,11.16996399
22.34186341,20.18622328,4.01267246
28.86778582,20.48693829,2.46233881
22.56787067,19.80267324,13.75153828
31.06794850,20.04368761,17.18124171
26.56332913,19.73027222,5.86269327
30.14915216,20.09134328,6.93171477
20.71726215,19.65134092,16.24314075
33.10575780,20.37858041,12.44989720
24.97615211,19.81724024,3.11743459
31.09865361,19.50874420,4.66073442
26.49228678,20.20265280,9.87535674
27.24599459,19.95980738,14.69268124
24.09823824,20.26724132,9.51341497
27.40978809,19.67913469,8.81518453
23.48858836,20.10949372,13.97292053
31.95415478,19.85283124,10.57849692
26.21895200,20.42015310,5.37558584
33.29461523,20.22077274,2.80192608
24.35624141,19.53650744,12.12091506
30.75177828,20.30878349,16.55550241
20.65557524,19.99536788,7.26384431
31.69524503,20.32521384,6.56643143
26.37819548,19.88521125,17.89543226
28.91049138,20.14370479,13.05296168
21.94260113,19.58236437,1.74298725
29.20298101,19.77390267,4.32569499
22.17239262,20.46781152,11.50149555
33.46667368,19.69370442,15.32189836
24.09782075,20.00113858,8.10872366
29.63222268,20.39096480,7.84095098
21.72090153,19.83511772,15.07407643
33.60884827,20.07663944,11.79759429
23.96465517,19.63382953,4.54519067
30.70929446,19.94252100,1.96260780
27.35518593,20.25227432,13.34893352
27.63739675,19.52639668,17.64773717
23.23799246,20.21530035,6.29853382
32.07421554,19.60370966,7.52768480
25.59878602,20.16920029,16.80731898
29.71297692,19.92584752,11.82069531
21.68526309,20.36267599,2.58648798
27.60468559,20.06182848,5.16002286
23.30275629,19.74243161,10.27840406
32.33072759,20.47014031,14.22461026
25.82018779,19.78721808,9.07914995
32.37833150,20.12581204,9.28174083
25.20355491,19.56996474,14.40869998
28.23859699,20.34274051,10.07870875
23.12782343,19.89993034,4.97303800
30.00045341,19.70865615,3.42961330
20.84382742,20.01840972,12.65337611
32.66990820,19.76127040,15.95903265
