# StochasticInstanton sample grid
# generated: 2026-06-24T09:51:40Z
# method: sobol
# seed: 42
# n_requested: 512
# n_samples_generated: 512
# delta_nstar_range: [0.1, 1.0]
# delta_N_range: [0.05, 2.0]
# N_final: [19.9, 20.1] (5 quasi-random samples)
# N_init_max: 50.0
# total_rows: 512
N_init,N_final,delta_Nstar
21.69930010,20.06128255,0.48792653
20.90286106,19.99974694,0.88283218
21.09010818,20.04529402,0.62012391
20.42185135,19.90636581,0.22317988
21.41544271,19.97123522,0.13905487
20.19868576,20.08355209,0.76049851
21.73622139,19.93488382,0.96745758
20.76186634,20.02303078,0.34705153
21.14055666,19.93821986,0.38723349
20.36141744,20.00095177,0.89200951
21.51125065,19.95577090,0.70498976
21.07306985,20.09277039,0.20170473
21.90917031,20.02945757,0.28632326
20.57295641,19.91594442,0.56412163
21.35462393,20.06424647,0.80787763
20.25139875,19.97802823,0.52761495
21.36358222,20.00806391,0.50971698
20.15559394,19.94652825,0.79061803
22.04903834,20.09832309,0.58228741
20.54266977,19.95939484,0.30331509
21.52883513,19.92425891,0.16249500
20.96693529,20.03657582,0.66685785
21.24246425,19.98165827,0.93104759
20.37452881,20.06980527,0.42553707
21.84156234,19.99123709,0.36519499
20.74275584,20.05396904,0.98446829
21.40534633,19.90254041,0.74263659
20.09906074,20.03953995,0.12176265
21.18631593,20.07624468,0.26219908
20.41402840,19.96273148,0.65844981
21.72618107,20.01728282,0.84365507
20.76031977,19.93106452,0.44975857
21.03674389,19.95283169,0.46415330
20.56768158,20.08926965,0.85738708
21.61578743,19.94069523,0.64208449
20.86854291,20.00452578,0.25043761
21.83001476,20.06777545,0.11000810
20.75646565,19.98055625,0.72626445
21.43313445,20.02600185,0.99820712
20.06718345,19.91295256,0.37958281
21.56417337,20.04767170,0.41092099
20.92753047,19.91003745,0.91754033
21.22338971,20.05824567,0.68300525
20.39578840,19.99634383,0.17447092
21.26088151,19.93152574,0.31528409
20.25611797,20.01994124,0.59844163
21.89176755,19.97486184,0.77710395
20.70401529,20.08598243,0.49510782
21.88050415,19.90604420,0.54046299
20.60379848,20.04248221,0.82315285
21.36513781,19.98766003,0.55324440
20.23681243,20.05149062,0.26907728
21.25181937,20.01475785,0.18445183
20.25422056,19.92753859,0.69411934
21.66185047,20.07923349,0.90727791
20.92028726,19.96618414,0.40008844
21.57359153,20.09464840,0.33441819
20.03837547,19.95701410,0.95196426
21.83995580,20.01147008,0.77160074
20.66221882,19.94956819,0.15607931
21.71750556,19.98474476,0.24021124
20.88057521,20.07316031,0.63121932
21.05374217,19.92183162,0.86734568
20.46038558,20.03295226,0.47528627
21.31878788,19.91871338,0.46624454
20.19193597,20.02980961,0.86232704
21.76109062,19.97538110,0.62570501
20.81728694,20.06377223,0.23166088
21.68451961,20.00208524,0.14703586
20.79605189,19.94020777,0.76658039
21.15212211,20.09151509,0.94645167
20.45455329,19.95390521,0.32586956
22.00619884,20.08236985,0.40862462
20.57933213,19.96929609,0.91280551
21.33012840,20.02413963,0.69915212
20.19560409,19.93689597,0.19348025
21.15492998,19.99702675,0.27761174
20.46863417,20.06088176,0.55877028
21.44882955,19.90915940,0.82818735
21.04077546,20.04562182,0.54949312
21.55524049,19.96550125,0.50408067
21.02275022,20.07659743,0.78219147
21.14195311,19.92841668,0.60391495
20.36594858,20.01680776,0.32387543
21.42530115,20.05510323,0.18344549
20.18666392,19.99322580,0.68809448
22.03599224,20.03828384,0.92301193
20.43981641,19.90067401,0.41951061
21.16031774,20.03539277,0.37097818
20.35780592,19.92231906,0.99274797
21.82709938,20.07091485,0.72119025
20.76849245,19.98367122,0.10102110
21.77946971,19.94380734,0.24183470
20.71205994,20.00766231,0.63662706
21.41801874,19.96218923,0.85231117
20.20228818,20.09865160,0.45516458
21.82984803,20.02039474,0.44428717
20.66575598,19.93420086,0.83506523
21.50763507,20.08560203,0.64947502
20.11049479,19.97211324,0.25711006
20.94879501,19.91193152,0.11628954
20.57151409,20.04890665,0.73404503
21.65485272,19.99437667,0.97549522
20.93667290,20.05708421,0.36010769
21.26064069,19.97851564,0.43061277
20.34723482,20.06668706,0.94003652
21.81685938,19.91487086,0.67546097
20.66111112,20.02721218,0.16795221
21.65249634,20.08896270,0.30838907
20.92332427,19.95001003,0.59127462
21.18469851,20.00495505,0.79922287
20.32728472,19.94339497,0.51517591
21.32624653,20.07361300,0.53312776
20.29948545,19.98741917,0.81642606
21.65938554,20.03257257,0.57316487
20.82613871,19.91908383,0.29134382
21.91751852,19.95890745,0.20721925
20.67209971,20.09588253,0.71353990
21.28072580,19.94760184,0.90105102
20.24284559,20.01030933,0.39225233
21.64270433,19.92549880,0.34201682
20.83568403,20.01367017,0.95842766
21.05583302,19.96810172,0.75196426
20.55490783,20.08044301,0.13352878
21.53698472,20.04217597,0.21814688
19.96966707,19.90322335,0.61109570
21.92477536,20.05191908,0.87429622
20.65577849,19.99035905,0.48239872
21.20965977,20.03788346,0.48617918
20.29217838,19.90127456,0.87743885
21.58131502,20.05621728,0.60796679
21.00311050,19.99231345,0.21435267
21.83922167,19.92901284,0.13016630
20.64303472,20.01640300,0.74840362
21.28539555,19.96458145,0.96200202
20.32051583,20.07770404,0.34536555
21.63010062,19.96164346,0.38911827
20.97195864,20.09939983,0.89726540
21.02018548,19.94487214,0.71733924
20.49190725,20.00679844,0.21033956
21.48548418,20.07165563,0.29490960
20.12875284,19.98311802,0.57651875
21.80530457,20.03452452,0.81308590
20.69265662,19.92337947,0.52954824
21.91079940,20.09091439,0.51844055
20.67364747,19.95430554,0.80309765
21.47530368,20.00299745,0.58735866
20.02899112,19.93909366,0.30516565
21.11623562,19.97578619,0.16429707
20.48397178,20.06317630,0.67197673
21.65706200,19.91760709,0.94347958
20.82954289,20.03072963,0.43430913
21.29449055,19.90841112,0.35622435
20.22479514,20.04616743,0.97223575
21.97898835,19.99789056,0.73726332
20.61259419,20.05981681,0.12021410
21.59877396,20.02469307,0.26058916
20.89689554,19.93615551,0.65313877
21.31167988,20.08130967,0.83136030
20.30544736,19.97016467,0.44084929
21.49504395,19.94810588,0.45194115
20.99655163,20.00961713,0.84839519
21.15353697,19.95789706,0.64050182
20.46576777,20.09670324,0.24509932
21.33084645,20.03187293,0.10471744
20.18625501,19.91958043,0.72463329
21.96077432,20.07442932,0.98926372
20.63487564,19.98640438,0.36732302
21.10572811,20.05237320,0.42343516
20.49856776,19.98971449,0.92623020
21.68573302,20.04101952,0.68483500
20.79870893,19.90419088,0.17956213
21.76019148,19.96745277,0.32043753
20.82642518,20.08089273,0.60021001
21.36403131,19.92645888,0.78585520
20.13618163,20.01250628,0.50755976
21.50456883,19.99506882,0.54569893
20.10749916,20.05658002,0.82505845
21.76997490,19.91111076,0.56191292
20.73206585,20.04991690,0.28139221
21.78736700,20.08510566,0.19682899
20.81060455,19.97281321,0.70272650
21.12288029,20.02140976,0.90924488
20.39137310,19.93338487,0.40526215
21.94962341,20.00559946,0.32898989
20.53481645,19.94294080,0.95025103
21.43497724,20.08799502,0.76279478
20.16686902,19.95116643,0.14390182
21.18186528,19.91442146,0.22808138
20.32404603,20.02786137,0.62236487
21.59285773,19.97967986,0.86568094
20.98939258,20.06572720,0.46981033
21.87624222,19.98279026,0.47840144
20.70939741,20.06886202,0.87115360
21.19921361,19.92378033,0.62745258
20.32639267,20.03724466,0.23705486
21.28573230,20.09738766,0.15249121
20.33772983,19.96053465,0.76826572
21.57890854,20.00873752,0.95534046
20.91082933,19.94605444,0.33796509
21.44884105,20.01826866,0.39627535
20.06201236,19.93026818,0.90417131
21.89186393,20.07571608,0.69726712
20.68640199,19.96344805,0.18822371
21.55362464,19.90174884,0.27240370
20.92681102,20.04053056,0.55683764
21.02218852,19.99196148,0.81960079
20.58459226,20.05344826,0.53709536
21.03025465,19.93582694,0.49901007
20.48776797,20.02189874,0.78034112
21.69631298,19.97056625,0.59519074
20.89941268,20.08403062,0.31139559
21.91037624,20.04415455,0.17101415
20.58126306,19.90730149,0.67932264
21.54796706,20.06175670,0.92120922
20.07221464,19.99907358,0.41439151
21.68515838,20.06504277,0.37635081
20.89269553,19.97704225,0.99429631
21.27283235,20.02874096,0.73016155
20.23517374,19.91647287,0.11325385
21.29453629,19.95478053,0.25412882
20.31755735,20.09356230,0.64553612
21.90594756,19.93874088,0.85392173
20.56974847,20.00022772,0.46047584
21.39081910,20.07819296,0.44587005
20.21719232,19.96702354,0.84040417
21.94775805,20.01532789,0.66168696
20.53010739,19.92676591,0.26610131
21.52148259,19.98850420,0.12523315
21.05420876,20.05045486,0.74630546
21.05464601,19.90527934,0.98078566
20.45744893,20.04306007,0.36173821
21.69981500,19.92074193,0.42878281
20.79589133,20.03384006,0.93494467
21.37664375,19.98516950,0.66294702
20.24135333,20.07253520,0.15926298
21.07966728,20.01236570,0.29963761
20.44053322,19.94848632,0.57882204
21.78500178,20.09402806,0.79406965
20.80665035,19.95744362,0.51340818
21.77274855,20.02516241,0.52445859
20.70551153,19.91399295,0.80411091
21.18683848,20.06854810,0.56792957
20.42401507,19.97998607,0.28943844
21.40610195,19.94173123,0.20525163
20.10068672,20.00368194,0.70836597
21.79461287,19.95225408,0.88867451
20.78583689,20.09003486,0.38364539
21.19610594,19.97397390,0.35082342
20.42951647,20.08707207,0.97060537
21.52852174,19.93215071,0.75739193
20.95712804,20.01951645,0.13524180
22.04849414,20.05932788,0.21981226
20.54122544,19.99544845,0.61657186
21.41074310,20.04724253,0.88642544
20.11269454,19.91065804,0.49125296
21.33071999,19.96654329,0.49297894
20.27367130,20.07886015,0.88481100
21.91482259,19.92706307,0.61463290
20.56703218,20.01521003,0.22163966
21.65395359,20.05035302,0.13707603
20.92575704,19.98881740,0.75544607
21.25982673,20.04373567,0.96899782
20.24866279,19.90480746,0.35254256
21.87973922,20.03414941,0.38173905
20.61236245,19.92063626,0.89047272
21.53389652,20.07206713,0.71004560
20.08812084,19.98584888,0.20368011
21.07151172,19.94914969,0.28786007
20.45267539,20.01188159,0.56961610
21.69964432,19.95732954,0.80590223
20.88838475,20.09432903,0.52255908
21.60558647,19.91332880,0.51169242
20.86868449,20.02564571,0.79567393
21.04684168,19.98010087,0.58075057
20.56763548,20.06824787,0.29782059
21.40101724,20.00337179,0.15743918
20.10937357,19.94183613,0.66488249
21.86223930,20.09050368,0.93654200
20.71419073,19.95157542,0.42707383
21.23895257,20.08717469,0.36365472
20.38265305,19.97366149,0.97897723
21.54869529,20.01884012,0.74461545
20.94055936,19.93262183,0.12681511
21.93375371,19.99592950,0.26769005
20.65958848,20.05866145,0.65999000
21.21879936,19.91036011,0.83860268
20.30064839,20.04735965,0.44777978
22.03335723,20.06934229,0.45866227
20.55590355,19.98212309,0.85584684
21.37916486,20.03694751,0.64713692
20.14245289,19.92389821,0.25241645
21.20047239,19.96063652,0.11154832
20.41897126,20.09707447,0.73175545
21.57093903,19.94537887,0.99622831
20.92240529,20.00920941,0.37453040
21.41565087,19.92995880,0.41597686
20.09880604,20.01837430,0.91951574
21.83134531,19.96391609,0.67751079
20.74289939,20.07503668,0.17293411
21.75831904,20.03986716,0.31330871
20.71812909,19.90223292,0.59338578
21.15408470,20.05356231,0.77864074
20.45631799,19.99166048,0.50060226
21.05020552,20.02256286,0.53892623
20.47180517,19.93534361,0.81765844
21.73909869,20.08391579,0.55521975
20.85300256,19.97086644,0.27413310
21.71844515,19.90761162,0.18994632
20.76959120,20.04404962,0.69565618
21.43332472,19.99860473,0.90222201
20.19087566,20.06243533,0.39811301
21.54577302,19.97693965,0.33639698
21.03609882,20.06535520,0.95701664
21.10611996,19.91714922,0.77006055
20.39828217,20.02826986,0.15058834
21.36254255,20.09308127,0.23515877
20.24592939,19.95544698,0.62924045
21.90115724,20.00052566,0.87283673
20.57852981,19.93862377,0.47682654
21.62715617,20.00989369,0.47173903
20.86843332,19.94801622,0.86386388
21.35838026,20.09619473,0.62064912
20.25729367,19.95858484,0.22968545
21.27051054,19.92028423,0.14549910
20.24299425,20.03138045,0.76108597
21.92781872,19.98632313,0.94842702
20.67184401,20.07471426,0.33092538
21.09793134,19.98921821,0.40357215
20.51037653,20.05307321,0.91082664
21.60071299,19.90447967,0.70464318
20.88013129,20.04094209,0.19502052
21.94035252,20.08079929,0.27959053
20.64263606,19.96772553,0.56382266
21.52130423,20.01319789,0.82664716
19.98290556,19.92595422,0.54400214
21.49962625,20.05667274,0.50562089
20.11606928,19.99479531,0.78768247
21.83776480,20.04922606,0.60193613
20.66028161,19.91161623,0.31882302
21.62042038,19.97330875,0.17795446
20.97353863,20.08440492,0.68655424
20.98331562,19.93309688,0.92806437
20.53453796,20.02148797,0.42148945
21.83474087,19.94223774,0.36900280
20.65329622,20.00609270,0.98769213
21.24287002,19.95124692,0.72272704
20.35496097,20.08770929,0.10651554
21.22449647,20.02758556,0.24689057
20.27742150,19.91451185,0.63860246
21.61259915,20.06623493,0.84681670
20.97327947,19.97899130,0.45362777
21.12408629,19.90099798,0.43923136
20.37375683,20.03797310,0.83308988
21.57301058,19.99282194,0.65496944
21.01504484,20.05552948,0.25864682
21.99629175,20.01569918,0.11826498
20.48956040,19.92950530,0.73910093
21.46508520,20.07778528,0.97395838
20.13681227,19.96429650,0.35461320
21.83510860,20.09989614,0.43610375
20.76293970,19.96094348,0.94157671
21.15241661,20.00650968,0.67040859
20.36327461,19.94494960,0.16597343
21.45233893,19.98321148,0.30684880
20.16552699,20.07138290,0.58578357
21.74504756,19.92268789,0.80120174
20.74891782,20.03502921,0.52022838
21.71900794,19.95421285,0.53114892
20.86181255,20.09118793,0.81137362
21.36077961,19.93978453,0.57470511
20.14751045,20.00249201,0.29683486
21.13664341,20.06268079,0.21227166
20.46757747,19.97648696,0.71551871
21.70008794,20.03101765,0.89556002
20.78291793,19.91752891,0.39071212
21.36235719,20.04687048,0.34355363
20.15333025,19.90791786,0.96392213
21.97407978,20.05973630,0.74998886
20.62151724,19.99817628,0.12847291
21.45893169,19.93643129,0.21265244
21.04073036,20.02460266,0.60955892
21.14472726,19.96965693,0.87935206
20.46877064,20.08199821,0.48437410
21.80972232,19.93369238,0.48068471
20.68225394,20.02108253,0.87590204
21.46471878,19.97238981,0.61302266
20.15740804,20.08551240,0.21632808
21.14080890,20.04882540,0.13170308
20.38351184,19.91221649,0.75389806
21.76954582,20.05778803,0.96002664
20.81838202,19.99388420,0.34030971
21.40059151,20.06697581,0.39417071
20.20368698,19.97843819,0.89924424
21.98409297,20.02671588,0.71184821
20.49789018,19.91557083,0.20879932
21.58479788,19.95070162,0.29293079
20.99501695,20.08845799,0.57146634
21.18982867,19.94330149,0.81462611
20.31852385,20.00522779,0.53503924
21.16906679,19.98672832,0.51690035
20.45267149,20.07411843,0.79760667
21.47941381,19.91917651,0.58933745
21.00973863,20.03229905,0.31021803
22.00292297,20.09559450,0.16978812
20.59029283,19.95898565,0.67351701
21.28880781,20.01080485,0.93842711
20.23074842,19.94690106,0.43233026
21.67556861,20.01375066,0.35819970
20.79880753,19.92521309,0.97729157
21.11598148,20.07973997,0.73572656
20.49835965,19.96859497,0.11471969
21.33175515,19.90373110,0.25553327
20.17852383,20.04148742,0.65116333
21.79237605,19.99008325,0.83685480
20.78418334,20.05200951,0.44238613
21.48545340,20.03031811,0.45699699
20.02889922,19.91802561,0.85037057
21.90054661,20.06349568,0.63500738
20.67383479,19.97547075,0.24356253
21.68924073,19.94028904,0.10274204
20.78731991,20.00180029,0.71957742
21.08416415,19.95320140,0.99080054
20.52611007,20.09200758,0.37281748
21.96345813,19.96900731,0.41794415
20.62566870,20.08244727,0.92468999
21.31010503,19.93739224,0.68988741
20.21161387,20.02343963,0.18154094
21.26964335,20.06019013,0.32197777
20.34992563,19.99753142,0.60570104
21.64071419,20.04571527,0.78387636
20.85252036,19.90888663,0.50250732
21.61568509,20.07728825,0.54767780
20.96629828,19.96499580,0.83011092
21.17518982,20.01671506,0.56037265
20.32908288,19.92869017,0.27590116
21.29335699,19.99351381,0.19177661
20.31500970,20.05502501,0.70074771
21.83137041,19.90017846,0.91473586
20.64845236,20.03898459,0.40680234
20.98043864,19.92223858,0.32745305
20.54169837,20.03567850,0.94475653
21.66993599,19.98437427,0.76477021
20.92205647,20.07042162,0.14895771
21.78748905,20.00715457,0.23357579
20.70041433,19.94449591,0.62390163
21.50320793,20.09892742,0.86062512
20.12109459,19.96209883,0.46783497
21.22877732,20.08956681,0.47334905
20.37963441,19.95271381,0.86917481
21.73071674,20.00404549,0.63294356
20.74999043,19.94136241,0.23859505
21.81022607,19.98123181,0.15447008
20.77265005,20.06730357,0.77331819
21.39057654,19.91285070,0.95380019
20.11376176,20.02631503,0.33247403
21.49645539,19.90956940,0.40176976
20.99926808,20.04835112,0.90570807
21.22828367,19.99665322,0.69221130
20.38728914,20.05814001,0.18624835
21.40049532,20.01982720,0.27086686
20.11288371,19.93182673,0.55134315
22.05864278,20.08664581,0.82157623
20.54112929,19.97437777,0.54215126
21.96547709,20.04259705,0.49703466
20.52244851,19.90574400,0.77528525
21.37300497,20.05082649,0.59672755
20.22495550,19.98814337,0.31689006
21.09447657,19.92800743,0.17606999
20.40754623,20.01407923,0.68129802
21.48173704,19.96587403,0.91571478
21.10400545,20.07933840,0.41285472
21.36879348,19.95633774,0.37789105
20.24677532,20.09511951,0.99978734
21.70777133,19.94967080,0.72818271
20.79038344,20.01115764,0.10820141
21.75053291,20.07286237,0.24863781
20.84355910,19.98486186,0.64399590
21.11403234,20.03343328,0.85897414
20.40371914,19.92116519,0.46245465
21.70428148,19.99944976,0.45136111
20.89389227,20.06140042,0.84194444
21.02219381,19.90684608,0.65663450
20.49338799,20.04462681,0.26412244
21.58244163,20.08287650,0.12369296
20.03529022,19.97170709,0.74081449
21.87598942,20.02313261,0.98276445
20.61807677,19.93457063,0.36679059
21.25500978,20.00141985,0.42372691
20.24294573,19.93754048,0.93296924
21.70309171,20.09246103,0.66844151
20.88483489,19.95587659,0.16079982
21.86609621,19.91605848,0.30161296
20.61965178,20.02915661,0.58387786
21.33428853,19.97736487,0.79253289
20.26774597,20.06473056,0.50791377
21.23139917,19.94641344,0.52599538
20.28415518,20.00836415,0.80960535
21.84396095,19.96005900,0.56595419
20.75173785,20.09783978,0.28438259
21.58916301,20.03610701,0.19975717
20.91062547,19.92493755,0.70682916
21.27556288,20.07011542,0.89373038
20.33782659,19.98155339,0.38562080
21.84982057,20.05464538,0.34884461
20.73089477,19.99076596,0.96555296
21.49099109,20.03943732,0.75893214
20.01743503,19.90285283,0.14073280
21.00655356,19.96302939,0.22486470
20.59777873,20.07612756,0.61855070
21.56915577,19.93058349,0.88093441
20.91372032,20.01794923,0.48971271
