# StochasticInstanton sample grid
# generated: 2026-06-22T18:35:18Z
# method: sobol
# seed: 42
# n_requested: 500
# n_samples_generated: 512
# delta_nstar_range: [0.1, 3.0]
# delta_N_range: [0.5, 6.0]
# N_final: [35.0, 45.0] (5 quasi-random samples)
# N_init_max: 50.0
# total_rows: 507
N_init,N_final,delta_Nstar
48.04315151,43.06412767,1.34998548
42.89356619,39.98734687,2.62245925
45.57058699,42.26470088,1.77595481
37.13119862,35.31829069,0.49691293
42.99414130,38.56176122,0.22584348
44.86131469,44.17760433,2.22827297
42.18386112,36.74419106,2.89514109
43.59440847,41.15153893,0.89605494
40.66117390,36.91099321,1.02553012
41.42326086,40.04758845,2.65203063
42.53476992,37.78854500,2.04941145
47.76244117,44.63851963,0.42771524
47.13360670,41.47287847,0.70037494
38.00930602,35.79722091,1.59550303
47.21082414,43.21232363,2.38093904
40.03143074,38.90141130,1.47787041
44.58542676,40.40319565,1.42019917
38.27505942,37.32641262,2.32532476
39.97385063,37.96974185,0.75512639
41.09764752,36.21294535,0.30137276
44.81185617,41.82879099,1.92654195
42.99800728,39.08291348,2.77782001
44.70871459,43.49026359,1.14895279
45.13969487,39.56185442,0.95451720
45.00015826,42.69845190,2.94995338
39.72467822,35.12702051,2.17071789
42.50385118,41.97699768,0.17012409
47.30217844,43.81223389,0.62264147
39.76843691,38.13657380,1.89944939
46.04308455,40.86414075,2.49622188
39.25112561,36.55322620,1.22699982
41.05774720,37.64158459,1.27338285
46.17182395,44.46348261,2.54046949
42.11835482,37.03476142,1.84671668
43.02223452,40.22628875,0.58474341
48.71816557,43.38877266,0.13224833
41.57524905,39.02781226,2.11796323
45.62790259,41.30009271,2.99422294
36.44161233,35.64762777,1.00087793
47.01987183,42.38358509,1.10185653
38.73069907,35.50187262,2.73429662
46.55756134,42.91228326,1.97857248
41.30280436,39.81719147,0.33996186
40.68472628,36.57628693,0.79369318
42.02217565,40.99706179,1.70608968
44.50872339,38.74309188,2.28177941
46.40126526,44.29912128,1.37312520
41.23017420,35.30221025,1.51926963
44.06628459,42.12411050,2.43015919
43.62716946,39.38300136,1.56045418
43.45620811,42.57453123,0.64480457
44.58601475,40.73789252,0.37212256
37.65731462,36.37692958,2.01438454
48.78444012,43.96167427,2.70122882
41.35924154,38.30920709,1.06695164
49.26277231,44.73241989,0.85534752
38.43916030,37.85070518,2.84521817
46.08974555,40.57350377,2.26404682
39.84742404,37.47840945,0.28070001
44.48348630,39.23723787,0.55179177
46.29431371,43.65801526,1.81170670
39.64312368,36.09158112,2.57255829
43.21216828,41.64761275,1.30925576
40.24357154,35.93566910,1.28012128
42.30673414,41.49048029,2.55638713
44.16464595,38.76905500,1.79393838
45.67288369,43.18861143,0.52424063
45.20856419,40.10426213,0.25156000
39.78328228,37.01038863,2.24787013
47.92618471,44.57575466,2.82745538
39.46631924,37.69526054,0.82780191
49.90365127,44.11849259,1.09445710
40.54439328,38.46480445,2.71903996
45.24951411,41.20698170,2.03060129
37.93346224,36.84479832,0.40121412
43.47619260,39.85133733,0.67230450
44.55313306,43.04408778,1.57825979
40.15960358,35.45796980,2.44638146
45.44690885,42.28109087,1.54836672
43.11791694,38.27506267,1.40203773
46.85748179,43.82987133,2.29817251
40.20260341,36.42083398,1.72372595
42.18411868,40.84038817,0.82137638
46.97879666,42.75516150,0.36887991
40.56585926,39.66129023,1.99497111
47.90772853,41.91419202,2.75192734
36.91333286,35.03370044,1.12953419
45.30147823,41.76963857,0.97315191
37.70322360,36.11595296,2.97663236
48.85805764,43.54574227,2.10161304
41.75613382,39.18356112,0.10329021
42.72685077,37.19036716,0.55702292
42.72885230,40.38311538,1.82913163
42.57462178,38.10946164,2.52411377
45.58386282,44.93258017,1.24441920
46.48229760,41.01973705,1.20936978
39.13237811,36.71004316,2.46854352
48.64993806,44.28010127,1.87053063
39.35494321,38.60566191,0.60624353
38.88003711,35.59657600,0.15248853
44.27832763,42.44533228,2.14303400
44.76120179,39.71883344,2.92104016
45.69407595,42.85421040,0.93812479
42.90100655,38.92578205,1.16530782
44.48461582,43.33435290,2.80678436
41.46710022,35.74354284,1.95426313
43.50750359,41.36060914,0.31895713
49.21707581,44.44813477,0.77147589
40.60472118,37.50050154,1.68299601
43.93420824,40.24775233,2.35305147
38.61148873,37.16974841,1.43778906
47.57269315,43.68064985,1.49563389
40.61011978,39.37095849,2.40848396
46.57604985,41.62862865,1.62464234
38.87152582,35.95419154,0.71655232
43.82863463,37.94537265,0.44548425
46.77832899,44.79412669,2.07696189
41.49915967,37.38009209,2.68116441
41.53031237,40.51546652,1.04170197
41.47731462,36.27494005,0.87983197
